"Year";"Month";"Commune";"Establishments";"Rooms";"Beds";"Arrivals";"Overnight stays";"Room nights";"Room occupancy";"Bed occupancy"
"2021";"Total of the year";"Sursee";6.00;147.00;259.00;14507.00;27628.00;19752.00;37.49;29.82
"2021";"Total of the year";"Andermatt";14.00;522.00;1062.00;92527.00;185142.00;104498.00;58.05;50.89
"2021";"Total of the year";"Gurtnellen";4.00;32.00;102.00;4994.00;5502.00;2524.00;23.61;16.09
"2021";"Total of the year";"Einsiedeln";9.00;233.00;522.00;22601.00;42900.00;27053.00;32.65;22.99
"2021";"Total of the year";"Feusisberg";5.00;215.00;419.00;28777.00;46246.00;30134.00;38.55;30.29
"2021";"Total of the year";"Freienbach";6.00;228.00;378.00;23557.00;38413.00;27365.00;32.95;27.86
"2021";"Total of the year";"K?ssnacht (SZ)";5.00;118.00;220.00;15241.00;27360.00;18051.00;43.11;35.21
"2021";"Total of the year";"Ingenbohl";5.00;216.00;403.00;34778.00;66408.00;40447.00;51.74;45.59
"2021";"Total of the year";"Morschach";8.00;308.00;638.00;105791.00;269702.00;77702.00;70.81;119.66
"2021";"Total of the year";"Schwyz";8.00;84.00;198.00;6624.00;12666.00;8059.00;28.96;19.95
"2021";"Total of the year";"Engelberg";20.00;753.00;1487.00;76899.00;162531.00;94298.00;36.07;31.45
"2021";"Total of the year";"Sachseln";8.00;246.00;457.00;24630.00;48370.00;29206.00;34.15;30.50
"2021";"Total of the year";"Sarnen";7.00;204.00;348.00;24596.00;54921.00;37719.00;51.10;43.65
"2021";"Total of the year";"Beckenried";5.00;100.00;240.00;22058.00;37023.00;19907.00;56.33;44.66
"2021";"Total of the year";"Emmetten";5.00;166.00;363.00;16402.00;27375.00;15808.00;27.24;21.85
"2021";"Total of the year";"Glarus Nord";9.00;199.00;443.00;16912.00;34621.00;22917.00;32.41;22.01
"2021";"Total of the year";"Glarus S?d";18.00;291.00;645.00;28687.00;69721.00;31339.00;31.97;32.19
"2021";"Total of the year";"Unter?geri";4.00;106.00;185.00;8484.00;15267.00;10498.00;27.12;22.71
"2021";"Total of the year";"Zug";8.00;411.00;688.00;25474.00;77524.00;58527.00;39.24;31.06
"2021";"Total of the year";"Haut-Intyamon";3.00;32.00;63.00;1295.00;2082.00;1483.00;13.49;9.57
"2021";"Total of the year";"Bulle";5.00;180.00;376.00;23899.00;37771.00;25060.00;38.35;27.69
"2021";"Total of the year";"Gruy?res";5.00;84.00;222.00;15255.00;22184.00;12277.00;41.20;28.16
"2021";"Total of the year";"Fribourg";7.00;256.00;512.00;41072.00;64161.00;44923.00;48.46;34.56
"2021";"Total of the year";"Murten";7.00;145.00;266.00;25339.00;45409.00;29122.00;56.65;48.19
